American Gigolo
Atlantic City
The Baltimore Bullet
Below the Belt
The Big Red One
The Black Marble
The Blue Lagoon
Borderline
Bronco Billy
Brubaker
Cardiac Arrest
Carny
A Change of Seasons
Cheech
Circle of Two
Coast to Coast
The Competition
Cruising
Death Watch
Defiance
Delusion
The Dogs of War
The Earthling
The Elephant Man
The Exterminator
Fame
Fatso
Foxes
Gloria
Heart Beat
Home Movies
Honeysuckle Rose
The Hunter
The Idolmaker
Inside Moves
Jane Austen in Manhattan
The Jazz Singer
The Legend of Alfred Packer
Little Darlings
Little Miss Marker
Loving Couples
Maniac
Melvin and Howard
Middle Age Crazy
Mothers' Day
My Bodyguard
Nijinsky
The Ninth Configuration
Nothing Personal
The Octagon
One-Trick Pony
Ordinary People
Out of the Blue
Permanent Vacation
The Pilot
Raging Bull
Raise the Titanic
Resurrection
Return of the Secaucus Seven
Roadie
Rough Cut
Running Scared
Schizoid
Scruples
The Shining
Simon
A Small Circle of Friends
Somewhere in Time
Stardust Memories
The Stunt Man
Sunday Lovers
Superman
Tell Me a Riddle
Times Square
Tom Horn
Urban Cowboy
When Time Ran Out...
Why Would I Lie?
"After Dark, My Sweet"
Almost an Angel
American Ninja 4: The Annihilation
Angel Town
Another 48 Hrs.
48 Hrs.
Avalon
Awakenings
Bad Influence
Blind Faith
Blue Steel
The Bonfire of the Vanities
Cadence
Cartoon All-Stars to the Rescue
Catchfire
Challenger
Checkered Flag
Child in the Night
China Cry: A True Story
Come See the Paradise
Coupe de Ville
Crazy People
Dances with Wolves
Days of Thunder
Deceptions
Decoration Day
Denial
Desperate Hours
Downtown
Edward Scissorhands
The End of Innocence
Everybody Wins
The Exorcist III
Flashback
Flatliners
The Forbidden Dance
The Fourth War
Roger Corman's Frankenstein Unbound
Ghost
The Godfather: Part III
The Godfather
Goodfellas
Graffiti Bridge
Green Card
The Grifters
The Guardian
Hard to Kill
Havana
Heart Condition
Henry
Henry: Portrait of a Serial Killer
The Hot Spot
Industrial Symphony No. 1: The Dream of the Brokenhearted
Internal Affairs
The Kill-Off
The Last of the Finest
The Lemon Sisters
Lionheart
The Long Walk Home
Loose Cannons
Lord of the Flies
Love at Large
Marked for Death
Memphis Belle
Men of Respect
Macbeth
Joe MacBeth
Mermaids
Metropolitan
Miami Blues
Misery
Mister Frost
Mister Johnson
Mo' Better Blues
Mountains of the Moon
Murder in Mississippi
The NeverEnding Story II: The Next Chapter
Night Eyes
Postcards from the Edge
Pump Up the Volume
Quigley Down Under
The Reflecting Skin
The Rescuers Down Under
Revenge
Reversal of Fortune
Rocky V
Rocky
The Rookie
Rosencrantz & Guildenstern Are Dead
The Russia House
Short Time
A Show of Force
Side Out
Somebody Has to Shoot the Picture
State of Grace
Texasville
The Last Picture Show
Till There Was You
To Sleep with Anger
Trust
Twisted Obsession
The Two Jakes
Chinatown
"Welcome Home, Roxy Carmichael"
When You Remember Me
Where the Heart Is
White Hunter Black Heart
White Palace
White Room
Why Me?
Wild Orchid
Wild at Heart
28 Days
Across the Line
All the Pretty Horses
Almost Famous
American Psycho
Animal Factory
Autumn in New York
Bamboozled
The Beach
Beat
Beautiful
Beautiful Joe
Before Night Falls
Bless the Child
Boiler Room
Bounce
Boys and Girls
The Broken Hearts Club: A Romantic Comedy
Brother
Cast Away
Center Stage
Chinese Coffee
Chocolat
Chuck
The Contender
Coyote Ugly
The Crossing
Down to You
Dr. T & the Women
Duets
Erin Brockovich
The Family Man
Finding Forrester
For Love or Country: The Arturo Sandoval Story
Frequency
Get Carter
The Gift
The Girl
Girlfight
Gladiator
The Golden Bowl
Gossip
Hamlet
Hanging Up
Here on Earth
High Fidelity
The House of Mirth
I Dreamed of Africa
Icebreaker
The In Crowd
Keeping the Faith
The Kid
The Last Producer
Legacy
The Legend of Bagger Vance
Lost Souls
Love
Maryam
Maze
Memento Mori
Men of Honor
Mercy Streets
The Million Dollar Hotel
My Dog Skip
The Next Best Thing
Friday
Nurse Betty
The Opportunists
Our Song
Panic
Passion of Mind
The Patriot
Pay It Forward
The Perfect Storm
Pollock
Price of Glory
Prince of Central Park
Proof of Life
Quills
Reindeer Games
Remember the Titans
Requiem for a Dream
Return to Me
The Rugrats Movie
Rules of Engagement
Sexy Beast
Shadow of the Vampire
The Skulls
Songcatcher
Sound and Fury
Steal This Movie
The Tao of Steve
Things You Can Tell Just by Looking at Her
Thirteen Days
Thomas
Tigerland
The Tigger Movie
Timecode
Traffic
Turn It Up
Unbreakable
Under Suspicion
Garde à vue
Brainwashed
Up at the Villa
Vertical Limit
Waking the Dead
The Watcher
The Way of the Gun
What Lies Beneath
Whatever It Takes
Cyrano de Bergerac
Where the Money Is
Wonder Boys
The Yards
You Can Count on Me
127 Hours
Port Nolloth: Between a Rock and a Hard Place
A Little Help
All Good Things
All My Friends Are Funeral Singers
The American
Barry Munday
Black Swan
Blue Valentine
The Book of Eli
Buried
Burlesque
Casino Jack
Charlie St. Cloud
City Island
The Company Men
Conviction
Country Strong
Cyrus
Dear John
Diary of a Wimpy Kid
Dirty Girl
Easy A
Eat Pray Love
The Twilight Saga: Eclipse
Eclipse
Edge of Darkness
Extraordinary Measures
Fair Game
Faster
The Fighter
Flipped
For Colored Girls
Game of Death
Get Low
The Greatest
Green Zone
Greenberg
Happy Tears
Hereafter
Holy Rollers
How Do You Know
Hurricane Season
I Love You Phillip Morris
Jack Goes Boating
Jonah Hex
The Joneses
